word,translation,toeic_target,sentence,trans_s
ability,n. ?????  ,??, She has the ability to solve complex problems quickly.,?????????????
agreement,n. ????????  ,??, 1. They signed a trade agreement between the two countries.  2. We reached an agreement on the project deadline.  3. Her story was in agreement with the witness's account.,1. ??????????????? 2. ???????????? 3. ?????????????
enjoyment,n. ??  ,??, She gets a lot of enjoyment from playing the piano.,?????????????
glove(s),n. ??,??,She put on her gloves before cleaning the house.,????????????
goddess,n. ??  ,??," In Greek mythology, Athena is the goddess of wisdom.",????????????????
media,n. ??  ,??, The media plays an important role in shaping public opinion,???????????????
mine,n. ???? v. ??  ,??, 1. The workers went deep underground to work in the mine.  2. They mine coal in this region.,1. ????????????? 2. ???????????
online,adj. ??? adv. ???  ,??, 1. Many people shop using online stores nowadays.  2. She is online and available to chat.,1. ?????????????? 2. ?????????
payment,n. ?????  ,??, The payment was made by credit card.,???????????
photograph,n. ??,??,He took a photograph of the sunset.,???????????
photo,v. ??,??,Can you take a photo of me?,?????????
sore,adj. ??? n. ?????????  ,??," 1. After running, my legs felt sore.  2. He has a sore on his arm that won’t heal.",1. ???????????? 2. ???????????????
stair,n. ??,??,She ran up the stairs quickly.,????????
taxi/taxicab/cab,n. ???,??,I took a taxi to the airport.,?????????
treatment,n. ?????????  ,??, 1. The treatment of waste is important for the environment.  2. She was given special treatment at the hotel.  3. The patient received treatment for the infection.,1. ????????????? 2. ??????????? 3. ?????????
absence,n. ?????  ,??, 1. Her absence from the meeting was noticed by everyone  2. The absence of evidence made it hard to solve the case.,1. ???????????? 2.?????????????
account,n. ????? v. ?????  ,??, 1. I opened a bank account last week. 2. He gave a detailed account of what happened.,1. ????????????2. ????????????
actual,adj. ???  ,??, The movie is based on actual events.,???????????????
addition,n. ????????  ,??, 1. The new employee is a great addition to our team.  2. They built an addition to the house for extra space.  3. She’s learning addition and subtraction in math class.,1. ?????????????? 2. ?????????????? 3. ?????????????
admit,v. ??????????  ,??, 1. He admitted that he made a mistake.  2. Only employees are admitted beyond this point.  3. They admitted him to the hospital last night.,1. ????????? 2. ????????????? 3. ????????????
advance,n. ???????? v. ?????  ,??, 1. The soldiers advanced toward the enemy base.   2. There have been major advances in medical technology.  3. We need to make an advance booking for the hotel.  4. He received an advance on his salary.,1. ??????????  2. ???????????? 3. ??????????? 4. ????????
affair,n. ??????(??????)?????  ,??, 1. He always tries to keep his personal affairs private.  2. The president promised not to interfere in foreign affairs.  3. He had an affair with his coworker.  4. The wedding was a grand affair.,1. ?????????????? 2. ???????????? 3. ???????? 4. ???????
aid,n. ?????? v. ??  ,??, 1. The country sent food aid to the disaster victims.  2. Hearing aids help people with hearing loss.  3. The organization aids refugees by providing shelter and medical care.,1. ???????????? 2. ???????????? 3. ????????????????????
aircraft,n. ??????  ,??, The aircraft took off smoothly despite the bad weather.,???????????????
